"COUNTRY","Country","SERIES","Series","PERIOD","Pay period","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IRL","Ireland","PPP","In 2014 constant prices at 2014 USD PPPs","A","Annual","2010","2010","USD","US Dollar","0","units",,,22491,,
"IRL","Ireland","PPP","In 2014 constant prices at 2014 USD PPPs","A","Annual","2011","2011","USD","US Dollar","0","units",,,21923,,
"IRL","Ireland","PPP","In 2014 constant prices at 2014 USD PPPs","A","Annual","2012","2012","USD","US Dollar","0","units",,,21556,,
"IRL","Ireland","PPP","In 2014 constant prices at 2014 USD PPPs","A","Annual","2013","2013","USD","US Dollar","0","units",,,21447,,
"IRL","Ireland","PPP","In 2014 constant prices at 2014 USD PPPs","A","Annual","2014","2014","USD","US Dollar","0","units",,,21404,,
"ESP","Spain","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2010","2010","USD","US Dollar","0","units",,,12592,,
"ESP","Spain","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2011","2011","USD","US Dollar","0","units",,,12360,,
"ESP","Spain","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2012","2012","USD","US Dollar","0","units",,,12065,,
"ESP","Spain","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2013","2013","USD","US Dollar","0","units",,,11968,,
"ESP","Spain","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2014","2014","USD","US Dollar","0","units",,,11987,,
"AUS","Australia","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2010","2010","USD","US Dollar","0","units",,,28811,,
"AUS","Australia","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2011","2011","USD","US Dollar","0","units",,,29030,,
"AUS","Australia","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2012","2012","USD","US Dollar","0","units",,,29426,,
"AUS","Australia","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2013","2013","USD","US Dollar","0","units",,,29511,,
"AUS","Australia","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2014","2014","USD","US Dollar","0","units",,,29603,,
"ESP","Spain","PPP","In 2014 constant prices at 2014 USD PPPs","H","Hourly","2010","2010","USD","US Dollar","0","units",,,5.8000002,,
"ESP","Spain","PPP","In 2014 constant prices at 2014 USD PPPs","H","Hourly","2011","2011","USD","US Dollar","0","units",,,5.6999998,,
"ESP","Spain","PPP","In 2014 constant prices at 2014 USD PPPs","H","Hourly","2012","2012","USD","US Dollar","0","units",,,5.5,,
"ESP","Spain","PPP","In 2014 constant prices at 2014 USD PPPs","H","Hourly","2013","2013","USD","US Dollar","0","units",,,5.5,,
"ESP","Spain","PPP","In 2014 constant prices at 2014 USD PPPs","H","Hourly","2014","2014","USD","US Dollar","0","units",,,5.5,,
"TUR","Turkey","EXR","In 2014 constant prices at 2014 USD exchange rates","H","Hourly","2010","2010","USD","US Dollar","0","units",,,2.6600001,,
"TUR","Turkey","EXR","In 2014 constant prices at 2014 USD exchange rates","H","Hourly","2011","2011","USD","US Dollar","0","units",,,2.74,,
"TUR","Turkey","EXR","In 2014 constant prices at 2014 USD exchange rates","H","Hourly","2012","2012","USD","US Dollar","0","units",,,2.8099999,,
"TUR","Turkey","EXR","In 2014 constant prices at 2014 USD exchange rates","H","Hourly","2013","2013","USD","US Dollar","0","units",,,2.8599999,,
"TUR","Turkey","EXR","In 2014 constant prices at 2014 USD exchange rates","H","Hourly","2014","2014","USD","US Dollar","0","units",,,2.9000001,,
"LUX","Luxembourg","PPP","In 2014 constant prices at 2014 USD PPPs","A","Annual","2010","2010","USD","US Dollar","0","units",,,24681,,
"LUX","Luxembourg","PPP","In 2014 constant prices at 2014 USD PPPs","A","Annual","2011","2011","USD","US Dollar","0","units",,,24774,,
"LUX","Luxembourg","PPP","In 2014 constant prices at 2014 USD PPPs","A","Annual","2012","2012","USD","US Dollar","0","units",,,24735,,
"LUX","Luxembourg","PPP","In 2014 constant prices at 2014 USD PPPs","A","Annual","2013","2013","USD","US Dollar","0","units",,,25014,,
"LUX","Luxembourg","PPP","In 2014 constant prices at 2014 USD PPPs","A","Annual","2014","2014","USD","US Dollar","0","units",,,25628,,
"NZL","New Zealand","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2010","2010","USD","US Dollar","0","units",,,23563,,
"NZL","New Zealand","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2011","2011","USD","US Dollar","0","units",,,23096,,
"NZL","New Zealand","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2012","2012","USD","US Dollar","0","units",,,23627,,
"NZL","New Zealand","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2013","2013","USD","US Dollar","0","units",,,23909,,
"NZL","New Zealand","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2014","2014","USD","US Dollar","0","units",,,24373,,
"GBR","United Kingdom","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2010","2010","USD","US Dollar","0","units",,,22316,,
"GBR","United Kingdom","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2011","2011","USD","US Dollar","0","units",,,21852,,
"GBR","United Kingdom","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2012","2012","USD","US Dollar","0","units",,,21752,,
"GBR","United Kingdom","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2013","2013","USD","US Dollar","0","units",,,21600,,
"GBR","United Kingdom","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2014","2014","USD","US Dollar","0","units",,,21760,,
"MEX","Mexico","EXR","In 2014 constant prices at 2014 USD exchange rates","H","Hourly","2010","2010","USD","US Dollar","0","units",,,0.61000001,,
"MEX","Mexico","EXR","In 2014 constant prices at 2014 USD exchange rates","H","Hourly","2011","2011","USD","US Dollar","0","units",,,0.61000001,,
"MEX","Mexico","EXR","In 2014 constant prices at 2014 USD exchange rates","H","Hourly","2012","2012","USD","US Dollar","0","units",,,0.61000001,,
"MEX","Mexico","EXR","In 2014 constant prices at 2014 USD exchange rates","H","Hourly","2013","2013","USD","US Dollar","0","units",,,0.62,,
"MEX","Mexico","EXR","In 2014 constant prices at 2014 USD exchange rates","H","Hourly","2014","2014","USD","US Dollar","0","units",,,0.62,,
"GRC","Greece","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2010","2010","USD","US Dollar","0","units",,,11720,,
"GRC","Greece","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2011","2011","USD","US Dollar","0","units",,,11433,,
"GRC","Greece","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2012","2012","USD","US Dollar","0","units",,,9156,,
"GRC","Greece","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2013","2013","USD","US Dollar","0","units",,,8937,,
"GRC","Greece","EXR","In 2014 constant prices at 2014 USD exchange rates","A","Annual","2014","2014","USD","US Dollar","0","units",,,9056,,
"SVK","Slovak Republic","EXR","In 2014 constant prices at 2014 USD exchange rates","H","Hourly","2010","2010","USD","US Dollar","0","units",,,2.3499999,,
"SVK","Slovak Republic","EXR","In 2014 constant prices at 2014 USD exchange rates","H","Hourly","2011","2011","USD","US Dollar","0","units",,,2.4200001,,
