"COUNTRY","Country","SERIES","Series","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","CPNCU","Current prices in NCU","2010","2010","AUD","Australian Dollar","0","units",,,69274,,
"AUS","Australia","CPNCU","Current prices in NCU","2011","2011","AUD","Australian Dollar","0","units",,,73107,,
"AUS","Australia","CPNCU","Current prices in NCU","2012","2012","AUD","Australian Dollar","0","units",,,75138,,
"AUS","Australia","CPNCU","Current prices in NCU","2013","2013","AUD","Australian Dollar","0","units",,,75903,,
"AUS","Australia","CPNCU","Current prices in NCU","2014","2014","AUD","Australian Dollar","0","units",,,77433,,
"AUT","Austria","CPNCU","Current prices in NCU","2010","2010","EUR","Euro","0","units",,,36435,,
"AUT","Austria","CPNCU","Current prices in NCU","2011","2011","EUR","Euro","0","units",,,37171,,
"AUT","Austria","CPNCU","Current prices in NCU","2012","2012","EUR","Euro","0","units",,,38273,,
"AUT","Austria","CPNCU","Current prices in NCU","2013","2013","EUR","Euro","0","units",,,39054,,
"AUT","Austria","CPNCU","Current prices in NCU","2014","2014","EUR","Euro","0","units",,,39988,,
"BEL","Belgium","CPNCU","Current prices in NCU","2010","2010","EUR","Euro","0","units",,,38986,,
"BEL","Belgium","CPNCU","Current prices in NCU","2011","2011","EUR","Euro","0","units",,,40342,,
"BEL","Belgium","CPNCU","Current prices in NCU","2012","2012","EUR","Euro","0","units",,,41536,,
"BEL","Belgium","CPNCU","Current prices in NCU","2013","2013","EUR","Euro","0","units",,,42390,,
"BEL","Belgium","CPNCU","Current prices in NCU","2014","2014","EUR","Euro","0","units",,,42727,,
"CAN","Canada","CPNCU","Current prices in NCU","2010","2010","CAD","Canadian Dollar","0","units",,,54788,,
"CAN","Canada","CPNCU","Current prices in NCU","2011","2011","CAD","Canadian Dollar","0","units",,,56809,,
"CAN","Canada","CPNCU","Current prices in NCU","2012","2012","CAD","Canadian Dollar","0","units",,,58881,,
"CAN","Canada","CPNCU","Current prices in NCU","2013","2013","CAD","Canadian Dollar","0","units",,,60780,,
"CAN","Canada","CPNCU","Current prices in NCU","2014","2014","CAD","Canadian Dollar","0","units",,,62420,,
"CZE","Czech Republic","CPNCU","Current prices in NCU","2010","2010","CZK","Czech Koruna","0","units",,,290934,,
"CZE","Czech Republic","CPNCU","Current prices in NCU","2011","2011","CZK","Czech Koruna","0","units",,,298387,,
"CZE","Czech Republic","CPNCU","Current prices in NCU","2012","2012","CZK","Czech Koruna","0","units",,,303229,,
"CZE","Czech Republic","CPNCU","Current prices in NCU","2013","2013","CZK","Czech Koruna","0","units",,,300983,,
"CZE","Czech Republic","CPNCU","Current prices in NCU","2014","2014","CZK","Czech Koruna","0","units",,,309746,,
"DNK","Denmark","CPNCU","Current prices in NCU","2010","2010","DKK","Danish Krone","0","units",,,387992,,
"DNK","Denmark","CPNCU","Current prices in NCU","2011","2011","DKK","Danish Krone","0","units",,,395202,,
"DNK","Denmark","CPNCU","Current prices in NCU","2012","2012","DKK","Danish Krone","0","units",,,402904,,
"DNK","Denmark","CPNCU","Current prices in NCU","2013","2013","DKK","Danish Krone","0","units",,,406027,,
"DNK","Denmark","CPNCU","Current prices in NCU","2014","2014","DKK","Danish Krone","0","units",,,414843,,
"FIN","Finland","CPNCU","Current prices in NCU","2010","2010","EUR","Euro","0","units",,,36693,,
"FIN","Finland","CPNCU","Current prices in NCU","2011","2011","EUR","Euro","0","units",,,38005,,
"FIN","Finland","CPNCU","Current prices in NCU","2012","2012","EUR","Euro","0","units",,,39100,,
"FIN","Finland","CPNCU","Current prices in NCU","2013","2013","EUR","Euro","0","units",,,39877,,
"FIN","Finland","CPNCU","Current prices in NCU","2014","2014","EUR","Euro","0","units",,,40560,,
"FRA","France","CPNCU","Current prices in NCU","2010","2010","EUR","Euro","0","units",,,33877,,
"FRA","France","CPNCU","Current prices in NCU","2011","2011","EUR","Euro","0","units",,,34431,,
"FRA","France","CPNCU","Current prices in NCU","2012","2012","EUR","Euro","0","units",,,35151,,
"FRA","France","CPNCU","Current prices in NCU","2013","2013","EUR","Euro","0","units",,,35630,,
"FRA","France","CPNCU","Current prices in NCU","2014","2014","EUR","Euro","0","units",,,36066,,
"DEU","Germany","CPNCU","Current prices in NCU","2010","2010","EUR","Euro","0","units",,,32740,,
"DEU","Germany","CPNCU","Current prices in NCU","2011","2011","EUR","Euro","0","units",,,33980,,
"DEU","Germany","CPNCU","Current prices in NCU","2012","2012","EUR","Euro","0","units",,,34879,,
"DEU","Germany","CPNCU","Current prices in NCU","2013","2013","EUR","Euro","0","units",,,35671,,
"DEU","Germany","CPNCU","Current prices in NCU","2014","2014","EUR","Euro","0","units",,,36514,,
"GRC","Greece","CPNCU","Current prices in NCU","2010","2010","EUR","Euro","0","units",,,21081,,
"GRC","Greece","CPNCU","Current prices in NCU","2011","2011","EUR","Euro","0","units",,,20557,,
"GRC","Greece","CPNCU","Current prices in NCU","2012","2012","EUR","Euro","0","units",,,19898,,
"GRC","Greece","CPNCU","Current prices in NCU","2013","2013","EUR","Euro","0","units",,,18556,,
"GRC","Greece","CPNCU","Current prices in NCU","2014","2014","EUR","Euro","0","units",,,18411,,
"HUN","Hungary","CPNCU","Current prices in NCU","2010","2010","HUF","Forint","0","units",,,2788848,,
"HUN","Hungary","CPNCU","Current prices in NCU","2011","2011","HUF","Forint","0","units",,,2895262,,
"HUN","Hungary","CPNCU","Current prices in NCU","2012","2012","HUF","Forint","0","units",,,2967298,,
"HUN","Hungary","CPNCU","Current prices in NCU","2013","2013","HUF","Forint","0","units",,,3016068,,
"HUN","Hungary","CPNCU","Current prices in NCU","2014","2014","HUF","Forint","0","units",,,3092015,,
"IRL","Ireland","CPNCU","Current prices in NCU","2010","2010","EUR","Euro","0","units",,,48036,,
"IRL","Ireland","CPNCU","Current prices in NCU","2011","2011","EUR","Euro","0","units",,,48669,,
"IRL","Ireland","CPNCU","Current prices in NCU","2012","2012","EUR","Euro","0","units",,,49082,,
"IRL","Ireland","CPNCU","Current prices in NCU","2013","2013","EUR","Euro","0","units",,,49732,,
"IRL","Ireland","CPNCU","Current prices in NCU","2014","2014","EUR","Euro","0","units",,,51158,,
"ITA","Italy","CPNCU","Current prices in NCU","2010","2010","EUR","Euro","0","units",,,27800,,
"ITA","Italy","CPNCU","Current prices in NCU","2011","2011","EUR","Euro","0","units",,,28170,,
"ITA","Italy","CPNCU","Current prices in NCU","2012","2012","EUR","Euro","0","units",,,28064,,
"ITA","Italy","CPNCU","Current prices in NCU","2013","2013","EUR","Euro","0","units",,,28393,,
"ITA","Italy","CPNCU","Current prices in NCU","2014","2014","EUR","Euro","0","units",,,28730,,
"JPN","Japan","CPNCU","Current prices in NCU","2010","2010","JPY","Yen","0","units",,,4020812,,
"JPN","Japan","CPNCU","Current prices in NCU","2011","2011","JPY","Yen","0","units",,,4086852,,
"JPN","Japan","CPNCU","Current prices in NCU","2012","2012","JPY","Yen","0","units",,,4004927,,
"JPN","Japan","CPNCU","Current prices in NCU","2013","2013","JPY","Yen","0","units",,,4014593,,
"JPN","Japan","CPNCU","Current prices in NCU","2014","2014","JPY","Yen","0","units",,,3999790,,
"KOR","Korea","CPNCU","Current prices in NCU","2010","2010","KRW","Won","0","units",,,30327098,,
"KOR","Korea","CPNCU","Current prices in NCU","2011","2011","KRW","Won","0","units",,,31821290,,
"KOR","Korea","CPNCU","Current prices in NCU","2012","2012","KRW","Won","0","units",,,32079004,,
"KOR","Korea","CPNCU","Current prices in NCU","2013","2013","KRW","Won","0","units",,,32857988,,
